id;read;math;prog;apt;pass
147;47;53;general;619;TRUE
148;42;51;vocational;565;FALSE
149;63;49;academic;727;TRUE
150;42;57;vocational;554;FALSE
151;47;52;vocational;633;TRUE
152;55;56;general;687;TRUE
153;39;40;vocational;665;TRUE
154;65;66;general;796;TRUE
155;44;46;academic;614;TRUE
156;50;53;general;618;TRUE
157;68;58;academic;733;TRUE
158;52;55;academic;657;TRUE
159;55;54;general;592;FALSE
160;55;55;general;746;TRUE
161;57;72;general;800;TRUE
162;57;40;vocational;702;TRUE
163;52;64;general;800;TRUE
164;31;46;vocational;516;FALSE
165;36;54;vocational;604;TRUE
166;52;53;general;669;TRUE
167;63;35;academic;563;FALSE
168;52;57;general;695;TRUE
169;55;63;academic;779;TRUE
170;47;61;general;712;TRUE
171;60;60;general;678;TRUE
172;47;57;general;618;TRUE
173;50;61;academic;650;TRUE
174;68;71;general;750;TRUE
175;36;42;academic;454;FALSE
176;47;41;general;586;FALSE
177;55;62;general;688;TRUE
178;47;57;vocational;640;TRUE
179;47;60;general;609;TRUE
180;71;69;general;800;TRUE
181;50;45;general;662;TRUE
182;44;43;general;462;FALSE
183;63;49;general;591;FALSE
184;50;53;vocational;496;FALSE
185;63;55;general;647;TRUE
186;57;63;general;681;TRUE
187;57;57;academic;800;TRUE
188;63;56;general;796;TRUE
189;47;63;general;669;TRUE
190;47;54;general;661;TRUE
191;47;43;general;567;FALSE
192;65;63;general;800;TRUE
193;44;48;general;666;TRUE
194;63;69;general;800;TRUE
195;57;60;academic;727;TRUE
196;44;49;general;539;FALSE
197;50;50;general;594;FALSE
198;47;51;general;616;TRUE
199;52;50;general;558;FALSE
200;68;75;general;800;TRUE
