"parentspecies","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
"toluene",0.0319142344,250.99134536,22,6,10,1,2,83,32,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0
"decane",0.00141326706,233.0899372,31,9,6,1,1,246,40,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
"toluene",0.146199027,222.99643074,20,5,9,1,1,75,40,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0
"toluene",0.00190143155,313.986988252,27,6,13,2,2,198,40,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0
"toluene",1.98306249e-06,224.016831836,23,6,9,0,4,189,4,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0
"toluene",0.000682172494,222.99643074,20,5,9,1,2,55,8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
"toluene",2.34231489e-06,255.022645488,26,6,10,1,3,117,5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"toluene",5.50294922e-06,237.012080804,23,6,9,1,3,167,3,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0
"toluene",0.000200066231,239.027730868,25,6,9,1,2,128,40,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"toluene",0.0530994617,237.012080804,23,6,9,1,2,124,29,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0
"toluene",0.00239680963,281.001910044,26,7,11,1,1,124,40,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0
"decane",6.90083529e-08,277.043380932,30,9,9,1,2,538,40,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0
"toluene",0.000106360092,284.996824664,26,6,12,1,3,236,24,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"apin",1.40007984e-07,311.085245744,38,10,10,1,3,548,10,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
"toluene",0.00194580096,325.986988252,28,7,13,2,1,109,40,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0
"toluene",8.9912339e-08,224.016831836,23,6,9,0,4,268,9,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0
"toluene",1.09493988e-06,255.022645488,26,6,10,1,3,203,19,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
"decane",2.72452052e-05,235.069201756,29,8,7,1,1,62,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"toluene",3.42979725e-10,283.017560108,28,7,11,1,4,201,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0
"apin",1.27366896e-07,299.048860236,33,8,11,1,3,446,40,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0
"toluene",0.0162152887,281.997159012,25,6,11,2,2,73,14,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"decane",5.41250259e-05,296.085580092,36,9,9,2,1,240,40,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
"apin",2.80433208e-05,190.084123548,27,8,5,0,3,216,40,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"toluene",1.58148909e-07,359.992467556,32,7,15,2,4,1069,40,0,0,2,1,1,0,0,0,2,0,0,0,0,1,1,0
"toluene",7.92094948e-05,251.027730868,26,7,9,1,2,249,40,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0
"apin",0.0056684143599999,184.109944372,29,10,3,0,1,15,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"toluene",4.40763136e-06,262.99134536,23,7,10,1,2,239,40,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
"toluene",0.495322255,295.976423568,24,6,12,2,1,42,15,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
"toluene",0.000747144848,269.001910044,25,6,11,1,2,527,40,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0
"toluene",1.17298714e-11,252.011746456,25,7,10,0,5,712,17,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0
"toluene",2.81879187e-08,238.0324819,26,7,9,0,4,365,40,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
"toluene",0.00155853726,329.981902872,28,6,14,2,2,239,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,0
"toluene",5.442,281.997159012,25,6,11,2,0,8,8,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"apin",0.188238365,241.043380932,27,6,9,1,2,115,39,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"apin",0.000422084483,324.044109204,34,9,11,2,1,84,40,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
"apin",3.51856536e-09,309.06959568,36,10,10,1,2,672,40,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0
"toluene",0.000131996368,253.006995424,24,6,10,1,3,459,38,0,0,1,0,2,0,0,1,0,1,0,0,0,2,0,0
"toluene",4.86039605e-10,284.996824664,26,6,12,1,5,367,8,0,0,2,0,0,1,0,1,0,1,0,0,0,1,1,0
"toluene",8.01323695e-10,240.011746456,24,6,10,0,5,717,13,0,0,2,1,0,1,0,1,0,0,0,0,0,2,0,0
"toluene",6.56866939e-06,316.002638316,29,6,13,2,3,80,25,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0
"apin",0.0006149094479999,308.049194584,33,9,10,2,1,44,11,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
"apin",0.0254638820999999,219.074287136,28,8,6,1,1,21,15,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"toluene",2.9542507e-06,298.97608922,25,6,13,1,2,120,40,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0
"apin",1.97269742e-05,328.039023824,34,8,12,2,2,579,24,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0
"toluene",1.16426607e-06,265.006995424,25,7,10,1,3,131,7,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
"decane",4.92976639e-07,326.096144776,40,10,10,2,2,428,40,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
"toluene",0.000567537809,267.022645488,27,7,10,1,3,188,14,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0
"decane",1.05592198e-07,326.096144776,40,10,10,2,2,516,40,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
"toluene",0.00062878195,269.001910044,25,6,11,1,3,143,10,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
"decane",0.000309147216,214.084123548,29,10,5,0,1,145,40,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"toluene",0.00104912301,309.992073632,27,7,12,2,2,196,13,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,1
"toluene",1.03145234e-06,194.006267152,19,5,8,0,4,106,22,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0
"toluene",1.51810794e-06,194.04265266,23,6,7,0,3,278,18,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0
"decane",1.5608877e-06,310.064844648,35,9,10,2,1,99,19,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
"toluene",4.69832357e-08,255.022645488,26,6,10,1,3,492,2,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0
"apin",3.19967192e-05,299.048860236,33,8,11,1,3,381,14,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0
"toluene",2.58912859e-05,237.996096392,22,6,10,0,3,173,23,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0
"toluene",0.00279928718,237.012080804,23,6,9,1,2,63,25,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
"toluene",0.0234968535,190.011352532,19,6,7,0,1,12,6,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0
"apin",3.32004956e-05,368.033938444,37,10,13,2,2,457,40,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0
"toluene",8.05651435e-05,241.006995424,23,5,10,1,3,90,12,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0
"toluene",8.228,255.981508948,21,4,11,2,1,69,40,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"toluene",6.23313519e-07,220.021917216,23,7,8,0,3,218,25,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0
"toluene",5.63714972e-10,267.022645488,27,7,10,1,4,28,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0
"apin",3.00522466e-07,194.04265266,23,6,7,0,3,559,40,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0
"toluene",0.0311179483,253.006995424,24,6,10,1,3,82,10,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0
"toluene",7.1546065e-06,343.997552936,31,7,14,2,3,178,1,0,0,2,1,0,0,0,0,0,1,0,1,1,1,0,0
"toluene",3.30170805e-07,269.001910044,25,6,11,1,4,224,30,0,0,3,1,0,1,0,0,1,0,0,0,1,0,0,0
"decane",0.0014363686,235.069201756,29,8,7,1,1,141,40,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"toluene",0.00281621749,218.006267152,21,7,8,0,2,316,40,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0
"apin",0.0157760821,174.089208928,26,8,4,0,1,39,32,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"toluene",0.000337698914,265.006995424,25,7,10,1,2,72,40,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0
"decane",1.33249401e-06,312.11688022,41,10,9,2,2,417,40,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"toluene",3.05316442e-06,296.996824664,27,7,12,1,3,298,40,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"toluene",0.0021755829,331.961167428,26,5,15,2,2,480,40,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
"toluene",0.00774790992,297.992073632,26,6,12,2,2,160,26,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0
"toluene",5.36496133e-06,330.01828838,32,7,13,2,3,503,40,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0
"apin",0.000193453058,356.033938444,36,9,13,2,2,399,39,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
"toluene",0.0008507017439999,329.981902872,28,6,14,2,2,137,40,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
"toluene",0.000228011686,328.002638316,30,7,13,2,2,153,40,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0
"decane",9.75976697e-05,233.053551692,27,8,7,1,1,173,40,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0
"apin",1.15746092e-05,194.04265266,23,6,7,0,3,396,40,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
"toluene",0.0028249533499999,206.006267152,20,6,8,0,3,266,9,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0
"toluene",1.14578975e-05,270.9811746,23,5,12,1,3,271,15,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"toluene",0.0595600643,297.992073632,26,6,12,2,1,87,10,0,0,0,1,2,0,0,0,1,1,0,0,1,1,0,0
"toluene",3.04974606e-06,270.9811746,23,5,12,1,3,118,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
"toluene",7.45548223e-05,222.001181772,21,6,9,0,3,169,34,0,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0
"toluene",3.77153135e-06,192.027002596,21,6,7,0,3,171,2,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0
"toluene",0.000299541429,281.001910044,26,7,11,1,2,17,5,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0
"apin",9.34066436e-05,283.053945616,32,8,10,1,2,234,40,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
"apin",0.0005552378089999,190.084123548,27,8,5,0,2,286,40,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
"decane",1.26298707e-05,232.094688232,32,10,6,0,2,360,40,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0
"toluene",0.000749245846,266.98625998,23,6,11,1,2,73,29,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0
"apin",1.57625538e-06,263.064116376,31,9,8,1,2,415,40,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
"toluene",0.000553942899,225.012080804,22,5,9,1,3,266,31,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
"apin",0.000616881013,235.032816248,25,7,8,1,2,41,15,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
"apin",0.0104517508999999,292.054279964,32,9,9,2,0,74,40,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
"toluene",4.56858512e-07,250.99134536,22,6,10,1,3,67,4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
"toluene",0.000255461226,253.006995424,24,6,10,1,3,90,3,0,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0
"toluene",0.000324042727,178.011352532,18,5,7,0,3,91,5,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
"decane",0.00111188971,233.053551692,27,8,7,1,1,168,40,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0
"apin",3.62709376e-09,269.038295552,29,7,10,1,3,399,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"apin",4.10534199e-06,263.064116376,31,9,8,1,2,172,40,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
"toluene",1.47803867e-07,240.048131964,28,7,9,0,5,192,26,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0
"toluene",2.6933456e-05,220.021917216,23,7,8,0,3,27,9,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0
"toluene",0.000287713089,325.986988252,28,7,13,2,2,113,16,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0
"toluene",0.000290832253,281.997159012,25,6,11,2,2,190,40,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0
"toluene",5.95850634e-06,236.016831836,24,7,9,0,3,408,16,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0
"toluene",0.0002506398189999,188.032087976,21,7,6,0,2,43,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"toluene",2.74240153e-06,238.99134536,21,5,10,1,3,394,36,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0
"toluene",0.00234511643,219.00151612,20,6,8,1,2,30,7,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"toluene",0.000155267849,298.97608922,25,6,13,1,2,197,40,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
"toluene",0.11460775,266.98625998,23,6,11,1,3,270,11,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0
"apin",0.00422683785,188.068473484,25,8,5,0,1,25,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"toluene",3.79152142e-06,190.011352532,19,6,7,0,3,57,2,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0
"toluene",5.35041325e-05,294.9811746,25,7,12,1,2,211,40,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
"apin",1.87272588e-06,267.022645488,27,7,10,1,3,543,21,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"decane",0.0039568962899999,277.043380932,30,9,9,1,1,263,40,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0
"toluene",1.712,219.00151612,20,6,8,1,0,23,23,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
"toluene",7.65234511e-08,284.996824664,26,6,12,1,4,485,6,0,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0
"toluene",4.022,248.975695296,20,6,10,1,1,64,18,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0
"toluene",0.404380022,264.970609916,21,6,11,1,1,24,21,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0
"decane",0.000266399396,237.048466312,27,7,8,1,2,147,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"apin",5.896,175.048072388,21,6,5,1,0,8,8,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"apin",0.00104343022,308.049194584,33,9,10,2,1,53,31,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
"toluene",4.99149922e-06,204.027002596,22,7,7,0,2,90,40,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0
"toluene",1.82238565e-05,298.97608922,25,6,13,1,3,264,26,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0
"apin",3.07903799e-05,253.043380932,28,7,9,1,2,304,40,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
"toluene",0.0001074438699999,238.99134536,21,5,10,1,3,141,40,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
"apin",0.000232740145,253.043380932,28,7,9,1,3,197,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"toluene",3.72511638e-05,341.981902872,29,7,14,2,2,248,40,0,0,1,0,1,0,2,0,2,0,0,0,0,0,1,0
"toluene",0.0561208281,264.970609916,21,6,11,1,1,60,32,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0
"apin",0.00576954025,330.01828838,32,7,13,2,2,493,40,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
"apin",0.0002352913379999,208.058302724,26,7,7,0,3,408,25,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0
"apin",1.42918451e-07,255.059030996,30,7,9,1,3,929,40,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0
"toluene",0.0208235408,309.992073632,27,7,12,2,1,118,40,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
"toluene",0.850544816,311.971338188,25,6,13,2,1,46,40,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0
"apin",4.57623455e-05,326.059759268,36,9,11,2,1,194,40,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
"toluene",3.49617663e-06,194.006267152,19,5,8,0,3,198,26,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0
"decane",7.32717416e-08,265.07976644,33,9,8,1,3,606,40,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0
"toluene",1.26730351e-05,222.001181772,21,6,9,0,3,178,30,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"apin",0.0205800861,279.059030996,32,9,9,1,1,97,40,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
"toluene",1.466388e-05,281.997159012,25,6,11,2,1,315,40,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0
"toluene",0.0001126799219999,343.961167428,27,6,15,2,2,343,40,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0
"toluene",1.73235583e-07,328.002638316,30,7,13,2,2,190,40,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0
"toluene",0.000128331908,234.99643074,21,6,9,1,2,252,35,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0
"decane",0.00138380688,279.059030996,32,9,9,1,1,240,40,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
"apin",0.00135342274,283.017560108,28,7,11,1,2,195,40,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
"apin",0.000261720621,338.059759268,37,10,11,2,1,213,40,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
"toluene",3.68056733e-06,218.006267152,21,7,8,0,2,82,40,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0
"decane",3.77000457e-07,296.049194584,32,8,10,2,2,625,40,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
"toluene",0.00494470455,269.997159012,24,5,11,2,3,128,21,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0
"toluene",0.000334975171,253.006995424,24,6,10,1,3,96,4,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
"toluene",0.565874561,309.992073632,27,7,12,2,0,20,20,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0
"toluene",8.77438606e-06,174.016437912,18,6,6,0,2,28,7,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"toluene",1.13543433e-10,315.007389348,30,7,13,1,5,78,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,0
"toluene",0.910042892,174.016437912,18,6,6,0,1,17,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
"toluene",8.12246754e-06,309.992073632,27,7,12,2,2,302,40,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
"toluene",7.09534735e-05,166.011352532,17,4,7,0,3,170,34,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
"toluene",7.10024418e-08,325.986988252,28,7,13,2,3,346,40,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0
"toluene",0.0138318922,250.99134536,22,6,10,1,1,131,40,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"toluene",0.000228988679,328.002638316,30,7,13,2,2,164,24,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0
"apin",0.000101856627,213.048466312,25,5,8,1,3,371,40,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
"toluene",36.551,216.985866056,18,6,8,1,0,4,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1
"toluene",1.3691016e-07,298.97608922,25,6,13,1,3,79,4,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0
"toluene",0.00662755807,294.9811746,25,7,12,1,2,266,40,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0
"toluene",4.11586602e-08,331.997552936,30,6,14,2,5,180,2,0,0,3,0,0,0,0,0,1,1,0,0,1,2,0,0
"toluene",9.96136791e-05,281.001910044,26,7,11,1,3,235,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
"apin",1.61674724e-06,293.07468106,35,10,9,1,2,60,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
"toluene",0.00840952836,282.9811746,24,6,12,1,2,82,8,0,0,0,2,1,0,0,0,1,0,0,0,1,2,0,0
"apin",3.31889891e-05,279.059030996,32,9,9,1,2,163,6,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
"toluene",0.000188857418,328.002638316,30,7,13,2,2,137,33,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0
"toluene",5.9190772e-07,238.0324819,26,7,9,0,3,242,38,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0
"toluene",0.00870383641,162.016437912,17,5,6,0,2,49,16,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0
"toluene",2.74489452e-08,281.001910044,26,7,11,1,3,185,2,0,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0
"apin",0.000232478556,263.064116376,31,9,8,1,1,60,9,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0
"toluene",0.00159261919,265.006995424,25,7,10,1,1,128,40,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
"toluene",0.0105256028,250.99134536,22,6,10,1,2,130,14,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0
"toluene",2.59505858e-05,257.001910044,24,5,11,1,3,572,40,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0
"toluene",0.000865922601,241.006995424,23,5,10,1,3,381,33,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
"toluene",0.00172514181,357.976817492,30,7,15,2,1,547,40,0,0,0,2,1,0,0,0,1,0,0,1,1,1,0,0
"decane",5.13689825e-06,267.059030996,31,8,9,1,2,465,40,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0
"toluene",0.0069919582,206.006267152,20,6,8,0,2,34,16,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0
"toluene",1.25168331e-05,373.971732112,31,7,16,2,3,295,28,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0
"apin",4.94667912e-06,338.059759268,37,10,11,2,1,376,40,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
"toluene",0.00302131661,297.992073632,26,6,12,2,1,123,40,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
"toluene",0.000879511291,359.992467556,32,7,15,2,3,239,20,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0
"toluene",0.000327120236,236.016831836,24,7,9,0,4,80,19,0,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0
"apin",6.54228237e-06,370.049588508,39,10,13,2,2,661,40,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0
"apin",0.0311063993999999,195.037901628,22,5,7,1,2,70,17,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"toluene",0.000230761331,373.971732112,31,7,16,2,2,127,27,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
"apin",0.0001002088329999,261.08485182,33,10,7,1,1,77,40,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"apin",0.000213727806,223.032816248,24,6,8,1,2,168,35,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
"toluene",5.20806955e-06,265.006995424,25,7,10,1,3,262,40,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
